Date,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,SPY
2018-06-20,0.012410036482429332,0.00474168932511021,0.0009793010237784117,0.004415231666956787,-0.0025597041102489726,0.002121180980060089,0.0006833638690608712,-0.003248817477805699,0.0107938334697677,0.0020996568676541205,0.0007967311692915757,0.0017060925451206632
2018-06-21,-0.006129120752763506,-0.007123226841543873,0.001956778395286296,-0.018516141142411402,-0.0029324301024418187,-0.005761834966185764,-0.01255526905566895,-0.010634538130375293,0.005967124733736728,-0.00768379794232632,0.003384702741453305,-0.006268873817174225
2018-06-22,0.004376199918505241,-0.0017038759913046153,0.008201273785587215,0.019951105804764335,-0.004779509453745168,0.00449451244290433,0.003455551849299354,0.014563021904573814,0.00874175068622618,-0.003237890870390947,0.00694436487565353,0.0018230275101882576
2018-06-25,-0.020598057941509484,-0.021739152934719508,0.005035815239001984,-0.020093159691868978,-0.01071290255896562,-0.009184239599319355,-0.012670882330891087,-0.015550207345290779,-0.002475755230735288,-0.020762665362905608,0.01655165151522886,-0.013612603542315527
2018-06-26,0.001658341040032818,0.0071623377835461355,-0.004239801085984762,0.012629335395565322,-0.0033610025400854227,-0.0030898598732019833,0.0037661638366686123,0.003818965057045487,0.005274560845109244,0.004038448812516027,0.0011633769615504441,0.002214118259963538
2018-06-27,-0.00872183464064391,-0.012946707167911464,-0.0021283318282858676,0.013409985708318306,-0.01236409895337709,-0.00846344534200838,-0.00805964248089519,-0.0031125583134711254,-0.0027780082643256154,-0.013647421981701213,0.004840255186925102,-0.00828415620938916
2018-06-28,0.009979558341558503,0.007851593435755921,0.0,-0.0013232823668279936,0.008725392283505107,0.001322347386915279,0.0014006841371179135,0.003816003496862619,0.009904259342365274,0.012234470883518478,-0.0003854758944139558,0.005717199015894181
2018-06-29,-0.0012099887327233771,0.0017412793477904476,-0.0005824509812464296,0.006227474714312731,0.0,0.002041129451567647,0.002098453287006752,0.003455990847651247,0.0024515518268648506,-0.0004319240495097576,0.0015417435266629198,0.0014394178453458473
2018-07-02,0.006259223631417399,0.0013724710970146603,-0.005821755153679997,-0.014748468888140076,0.004889073397625454,0.003115405515732972,0.002233699442782955,-0.005338290250965549,-0.005808645665427714,0.008924724921483884,0.0071212825749300546,0.002138203399639771
2018-07-03,-0.012239387789777068,-0.005025120716135478,0.002342504751015051,0.006281938140135335,-0.00898183122889984,0.0023887979751218147,-0.003203904277971681,-0.0017311309328431612,0.005842583160779347,-0.011842154809985295,0.002866190751316333,-0.0035313451975036436
2018-07-05,0.015234915355064604,0.004958832200986807,0.013826745885928693,-0.0010624336068734141,0.0022658298771673913,0.010366778696098367,0.00489103967573179,0.008671286719025062,0.013145850103989831,0.014149871059932151,0.005335248861714659,0.008157907343318893
2018-07-06,0.0158059998608564,0.00785829989075948,0.003073149571785727,0.006115975646198146,0.004898032306287936,0.014388777166450817,0.003476630234840128,0.00498632304981772,0.004224551570589652,0.011673938808656414,0.007771223635650859,0.008458399836587027
2018-07-09,0.005712311701294048,0.011967242347979967,-0.003829735746693874,0.014933452231603361,0.022872248740470003,0.007324817510082626,0.01856979470270348,0.008896166092037694,-0.00931485141610422,0.007599792840213393,-0.03084445333776853,0.00900456285332174
